序号,警报类型,任务绩效（低噪音-视觉NDRT）,任务绩效（高噪音-视觉NDRT）,任务绩效（低噪音-听觉NDRT）,任务绩效（高噪音-听觉NDRT）
1,1,49.80071429,49.80071429,70.53731343,70.53731343
4,1,59.85294118,59.85294118,18.12068966,18.12068966
5,1,65.26923077,65.26923077,19.93548387,19.93548387
6,1,64.80769231,64.80769231,33,33
7,1,58.12664162,58.12664162,17.85365854,17.85365854
2103,1,74.35344828,74.16666667,67.62857143,77.24390244
2203,1,72.65625,70.83333333,28.11428571,22.85714286
2303,1,59.13461538,61.34615385,43.08333333,31.94444444
2403,1,66.015625,70.3125,44.48484848,39.91304348
2503,1,64.54081633,58.82352941,27.94117647,22.75
2603,1,79.78723404,87.5,76.83870968,78.26666667
2703,1,62.84722222,56.13207547,8.6,2.371428571
2803,1,60.26119403,59.57792208,28.69444444,26.38888889
2,2,69.82758621,69.20731707,41.47,39.52
3,2,61.85344828,62.73148148,60.97142857,68.42857143
8,2,80.625,83.53174603,47.70713276,49.22406746
9,2,74.43181818,69.3452381,59.75,47.61904762
10,2,55.90909091,56.24074074,52.36,55.69
11,2,65.5875,73.4375,44,34.75
1301,2,63.22115385,63.70967742,68.92,62.88888889
1401,2,65.77380952,73.75,34.84848485,50.4375
1501,2,58.4375,70.06578947,40.33333333,58.25
1601,2,67.82407407,64.03508772,44.80952381,43.30952381
1701,2,76.41509434,77.94117647,86.52777778,93.04166667
1801,2,72.4137931,68.89534884,33.37931034,28.66666667
1901,2,43.88297872,51.78571429,8.375,1.888888889
2001,2,71.25,69.82758621,64.575,80.47619048
